High-1	High-2	Low-2	Low-3
1700125G22Rik	0	0	0	0
Nceh1	1112	654	767	895
Tnfsf10	280	218	173	199
Ghsr	0	4	9	0
Fndc3b	1082	1000	877	1472
Tmem212	158	84	71	62
Pld1	68	34	13	50
Gm42196	0	0	0	0
Tnik	93	92	168	257
Slc2a2	1567	1992	4979	7180
1700112D23Rik	8	20	10	8
Eif5a2	57	87	114	191
Gm32950	3	13	7	13
Rpl22l1	908	842	847	729
Gm33051	0	0	0	0
Gm37867	0	0	0	0
Gm1527	0	0	0	0
Egfem1	0	0	0	0
Gm33206	0	0	0	0
Mannr	0	0	0	0
Mecom	0	1	0	9
Mecomos	1	2	0	0
Gm38258	0	0	0	0
Actrt3	80	99	77	110
Mynn	388	247	309	723
Lrrc34	4	26	7	1
Lrriq4	4	4	0	5
Lrrc31	0	0	0	0
Gm15462	0	0	0	0
Samd7	0	0	0	0
4933429H19Rik	6	4	1	7
Sec62	3315	2886	3433	3354
Gpr160	37	24	32	14
Phc3	140	63	119	93
Prkci	291	198	275	556
Skil	364	237	214	333
Cldn11	0	0	0	0
Slc7a14	2483	2194	3050	3257
Gm15496	40	36	32	36
Gm38025	0	0	1	0
Kcnmb2	1312	1884	3284	3466
Zmat3	281	227	213	172
Pik3ca	298	175	311	507
Kcnmb3	0	0	0	0
Zfp639	482	356	553	513
Gm37592	1	1	2	2
Mfn1	421	343	448	839
Gnb4	5	68	25	35
Gm37640	0	1	0	0
Actl6a	976	777	956	1356
Mrpl47	337	315	327	279
Ndufb5	2005	2058	1925	1823
Usp13	1	12	0	0
Gm37459	53	80	201	211
Pex5l	651	516	609	867
4930419G24Rik	1	1	4	0
Gm43666	0	0	0	0
Ttc14	832	681	603	981
Ccdc39	1	8	8	38
Gm43140	0	0	0	0
4930431L21Rik	0	0	0	0
Gm43077	0	1	3	0
Fxr1	656	526	710	801
Dnajc19	1166	1258	1089	1122
Gm38505	0	0	0	0
Gm34599	0	0	0	0
Gm20515	0	0	0	0
Gm29135	0	0	0	0
Gm42695	0	0	0	0
Gm42205	0	0	0	0
Sox2	0	0	0	0
Gm3143	0	0	0	0
Gm38509	0	0	0	0
Gm21388	0	0	0	0
1700017M07Rik	0	0	0	0
Gm6639	0	0	0	0
Atp11b	644	441	523	1004
Dcun1d1	339	363	283	387
Gm15952	38	44	35	49
Mccc1	483	336	480	705
Mccc1os	9	14	11	6
Ccdc144b	0	0	0	0
Acad9	351	221	355	531
Gm43079	0	0	0	0
D3Ertd254e	211	126	189	337
Qrfpr	0	0	0	0
Gm43255	0	0	0	0
Gm42208	0	2	0	3
Anxa5	12445	13846	16346	17350
1810062G17Rik	255	324	358	378
Gm11548	0	0	0	0
Gm11549	20	39	14	16
Exosc9	634	807	655	848
Ccna2	10	13	5	16
Bbs7	317	264	232	462
Trpc3	10	0	0	0
4932438A13Rik	645	483	713	1085
Gm12531	0	0	0	0
Adad1	0	0	0	0
Il2	2	3	1	1
Gm12532	0	0	0	0
Il21	23	23	2	19
Gm12534	0	0	0	0
Cetn4	109	118	138	121
Bbs12	24	32	49	117
Fgf2os	0	0	0	0
Fgf2	1	3	0	0
Nudt6	74	90	101	78
Spata5	327	323	357	422
4930594O21Rik	0	0	0	0
Spry1	1	0	0	0
Gm5148	21	11	31	13
Gm42921	0	0	0	0
Gm20755	0	0	0	0
Gm43821	0	0	0	0
5430434I15Rik	0	0	0	0
Gm42920	0	0	0	0
Gm36823	0	0	0	0
Ankrd50	206	69	105	234
Gm43538	0	0	0	0
C230034O21Rik	0	0	0	0
Fat4	0	0	0	0
Gm43539	0	0	0	0
1700017G19Rik	0	0	0	0
Intu	184	143	255	263
Slc25a31	12	23	13	6
Hspa4l	585	419	737	1050
Plk4	31	57	11	49
Mfsd8	234	341	393	704
Abhd18	119	155	164	201
1700034I23Rik	5	1	3	2
Larp1b	850	558	704	1002
Pgrmc2	2261	1846	2014	2581
Gm40038	0	0	0	0
Gm16508	0	0	0	0
1700052H01Rik	0	0	0	0
Gm40040	4	1	5	0
Platr4	1	3	0	4
2400006E01Rik	1	5	0	0
Jade1	1858	1196	1154	2244
Gm31266	0	0	1	0
Sclt1	171	165	150	252
D3Ertd751e	163	147	187	368
Pcdh10	0	0	0	0
1700027H10Rik	0	0	0	0
Pabpc4l	0	0	4	0
1700018B24Rik	0	0	0	0
Gm37190	0	0	0	0
Gm31415	0	0	0	0
Gm20557	0	0	0	0
Pcdh18	0	0	0	0
Slc7a11	216	141	87	23
Gm37854	0	0	0	0
Gm29230	0	0	0	0
Gm38246	0	0	0	0
Noct	775	678	663	932
Elf2	554	492	695	818
Gm5103	0	0	0	3
Mgarp	30	26	31	27
Ndufc1	2456	2449	2772	2396
Naa15	779	507	606	868
Rab33b	1071	962	1098	1634
Setd7	153	126	131	136
Mgst2	0	4	0	0
Maml3	380	339	444	411
Gm37229	5	3	3	3
Gm20089	5	3	0	0
Gm37202	0	0	0	0
Gm30074	54	29	44	58
Gm37170	11	36	15	33
Foxo1	1140	1059	1497	2007
Gm20402	0	0	0	0
Gm30173	289	289	261	296
Gm2447	21	8	19	27
Gm30292	0	0	0	0
Gm20750	0	0	0	0
Cog6	2145	1760	2336	3656
Gm42901	0	0	0	0
Lhfp	0	0	0	0
Gm43803	0	0	0	0
Nhlrc3	314	147	231	363
Gm16206	0	0	5	1
Proser1	148	159	185	186
Stoml3	0	0	0	0
Frem2	39	44	7	63
Gm30735	0	2	0	0
C820005J03Rik	24	16	24	16
Gm10985	0	0	0	0
Ufm1	4587	4434	4598	6071
Gm31026	0	0	0	0
Trpc4	14	20	78	84
Postn	6	22	0	0
Gm26678	0	0	0	0
Supt20	426	356	515	568
Gm21958	0	0	0	0
Exosc8	212	288	290	185
Alg5	1535	1285	1331	1332
Smad9	10	9	3	0
Rfxap	632	567	548	750
Sertm1	0	1	0	0
Ccna1	0	0	0	0
4931419H13Rik	0	0	0	0
Spg20	606	417	529	960
Ccdc169	0	0	0	4
Sohlh2	0	0	0	0
Dclk1	29	28	11	28
Gm42609	0	0	0	0
Gm21954	0	0	0	0
Gm43549	0	0	0	0
Nbea	475	294	492	509
Mab21l1	4	0	0	0
Gm43376	0	0	0	1
Tm4sf1	13	35	0	0
Tm4sf4	19173	24120	26607	26572
Wwtr1	19	3	0	0
Gm26671	6	0	0	0
Commd2	583	691	619	620
Ankub1	0	0	0	0
Rnf13	797	909	809	959
Pfn2	625	874	983	895
Gm40055	0	0	0	0
4921539H07Rik	0	0	0	0
1700007F19Rik	0	0	0	0
Tsc22d2	290	292	242	500
Serp1	28258	33187	29940	43287
Eif2a	775	711	755	896
Selenot	1720	1773	1640	1561
Erich6	579	510	435	552
Siah2	2365	2578	2292	3214
4930593A02Rik	4	8	9	2
Mindy4b-ps	0	0	1	0
Clrn1	0	0	0	0
Gm43570	2	0	2	8
Med12l	120	89	121	120
Gpr171	11	13	4	2
P2ry14	28	30	39	60
Gpr87	0	0	0	0
P2ry13	0	36	0	13
P2ry12	69	64	149	155
Igsf10	0	12	0	0
Gm38186	2	0	0	0
Gm5538	0	0	0	0
Gm8298	0	0	0	0
C130079G13Rik	0	0	0	0
Aadacl2	0	0	0	0
Aadac	0	0	0	0
Sucnr1	6	6	26	4
Mbnl1	814	646	778	829
Gm38326	0	0	0	0
Gm37035	13	24	22	25
P2ry1	530	443	598	924
Gm37696	2	0	0	0
Rap2b	40	41	29	25
B430305J03Rik	0	0	0	0
9330121J05Rik	0	0	0	0
Arhgef26	0	0	1	0
Dhx36	994	658	783	1005
Gpr149	0	0	0	0
Mme	0	0	0	0
Gm34240	0	0	0	0
Gm34302	0	0	0	0
Plch1	90	86	66	180
E130311K13Rik	137	162	190	184
Slc33a1	2177	1821	1893	3046
Gm26850	2	3	12	1
Gmps	1872	1614	2048	2494
Vmn2r1	0	4	0	0
Vmn2r2	0	0	0	0
Vmn2r3	0	0	0	0
Vmn2r4	0	0	0	0
Vmn2r5	0	0	0	0
Vmn2r6	0	0	0	0
Vmn2r7	0	0	0	0
Kcnab1	15	15	48	26
A330015K06Rik	0	0	0	4
A730090N16Rik	6	1	0	1
Ssr3	7808	7252	6566	10951
Tiparp	231	289	265	442
Lekr1	72	73	85	68
Gm37359	0	0	0	0
Ccnl1	793	598	592	661
Gm37305	8	41	17	18
Veph1	1	0	0	0
Ptx3	0	0	0	0
Shox2	3	8	18	4
Rsrc1	388	401	363	689
Gm17402	0	0	0	0
Mlf1	21	8	9	6
Gfm1	650	450	448	823
Lxn	266	347	307	369
Rarres1	0	0	0	0
Gm35299	0	0	0	0
4930402C01Rik	0	0	0	0
Mfsd1	1319	1273	1326	1821
Iqcj	0	0	0	0
Gm21949	0	0	0	0
Schip1	50	39	52	43
Il12a	0	0	0	0
4930535E02Rik	0	0	0	0
Gm35584	0	0	0	0
1110032F04Rik	0	8	0	0
Ift80	215	201	230	415
Smc4	246	169	269	353
Trim59	77	26	27	75
Kpna4	438	444	502	600
Gm1647	0	0	0	0
Arl14	0	0	0	0
Ppm1l	1795	1510	2621	2895
B3galnt1	1607	2215	1800	2142
Nmd3	1089	951	1035	1269
Sptssb	2	4	0	0
Otol1	0	0	0	0
Gm6634	0	0	0	0
Sis	0	0	0	0
Slitrk3	0	0	0	0
Gm20754	3	1	0	0
Gm38353	0	0	0	0
4930509J09Rik	0	0	0	0
Bche	0	2	0	0
Gm20356	0	0	0	0
Zbbx	0	0	0	0
Serpini2	0	5	0	0
Wdr49	15	10	43	44
Pdcd10	617	919	879	854
Serpini1	880	890	754	979
Platr10	0	0	0	0
Gm29133	0	0	0	0
Golim4	1156	924	1344	2161
Gm37256	0	0	0	0
Fstl5	0	0	0	0
Rapgef2	123	88	75	118
4921511C10Rik	4	0	0	3
6430573P05Rik	45	42	36	38
Gm17359	0	0	0	0
Fnip2	263	291	212	533
4930589L23Rik	0	1	0	0
Ppid	782	854	961	1266
Etfdh	1075	910	1022	1563
4930579G24Rik	60	60	65	93
Rxfp1	0	0	0	0
Tmem144	182	91	18	143
Gm36569	0	0	0	0
Fam198b	0	5	0	0
A330069K06Rik	0	0	0	0
Gm37892	0	0	0	0
Gm37971	0	0	0	0
Gria2	72	48	32	13
Glrb	445	586	530	634
Gm42468	0	0	0	0
Gm42476	0	0	0	0
Pdgfc	0	10	0	0
Gm16000	0	0	0	0
Gm43346	0	0	0	0
A830029E22Rik	0	0	0	0
Ctso	2838	2616	3283	4010
Tdo2	41	54	52	45
Asic5	0	0	0	0
Gucy1b1	27	30	37	17
Gucy1a1	5	6	11	5
Map9	529	311	408	491
Npy2r	0	0	0	0
Gm30043	0	0	0	0
Gm43348	0	0	0	0
Rbm46	0	0	0	0
Rbm46os	0	0	0	0
Lrat	0	2	0	0
Gm30097	0	0	0	0
Fgg	4662	1629	297	411
Fga	1454	716	139	122
Fgb	3420	1868	521	317
Plrg1	873	832	711	1373
Gm10710	0	0	0	0
Dchs2	0	0	0	0
Gm38096	0	0	0	0
1700028M03Rik	0	0	0	0
Sfrp2	0	0	0	0
Gm26771	0	8	0	2
Tlr2	1855	1193	1258	1095
Tmem131l	486	537	716	924
Mnd1	23	25	15	17
Trim2	125	132	69	127
Gm6525	2	0	0	0
4930565D16Rik	0	1	0	1
Fhdc1	653	343	498	1152
Arfip1	366	358	515	590
Gm37240	1	6	8	12
Tigd4	0	0	0	0
Tmem154	240	288	381	542
Fbxw7	1514	801	1005	1210
1700036G14Rik	0	0	0	0
Gm42813	0	0	0	0
Gm45790	0	0	0	0
Gm42812	1	2	1	0
Gatb	183	273	215	356
Fam160a1	137	92	110	259
Glt28d2	39	55	113	111
Sh3d19	611	393	379	675
Prss48	0	0	0	0
Rps3a1	2337	2362	2140	2017
Gm37933	0	0	3	0
Lrba	136	159	186	157
Mab21l2	0	0	0	0
Gm37876	0	0	3	0
Dclk2	73	92	74	99
Cd1d1	0	37	3	4
Kirrel	0	16	0	0
Gm37855	0	0	0	0
Fcrls	1	9	0	0
Cd5l	0	14	0	0
Fcrl1	0	9	0	0
Fcrl5	0	0	0	0
Etv3	231	89	216	215
Arhgef11	244	156	281	365
Lrrc71	0	0	0	0
Pear1	6	0	3	4
Ntrk1	64	30	116	179
Insrr	1021	912	2844	4945
Sh2d2a	0	0	0	0
Prcc	194	192	247	290
Hdgf	2720	2275	2903	3652
Mrpl24	1004	1004	960	802
Rrnad1	175	134	281	219
Isg20l2	156	218	263	232
Crabp2	0	2	0	0
Nes	7	10	0	12
Bcan	0	2	0	0
Hapln2	0	0	9	10
Gpatch4	293	214	221	252
Naxe	1979	2565	2355	2298
Ttc24	0	0	0	0
Iqgap3	1	0	0	0
Mef2d	1450	887	1142	1742
1700113A16Rik	103	132	121	173
AI849053	0	0	0	0
Gm3764	0	0	0	0
Rhbg	11	2	2	0
Gm38392	0	0	0	0
Tsacc	47	66	35	70
Cct3	4152	3429	3465	4937
Glmp	3941	3639	3075	3727
Tmem79	23	21	26	54
Smg5	406	322	366	680
Paqr6	0	0	0	0
Bglap3	10	0	0	2
Bglap2	0	0	0	0
Bglap	0	0	0	0
Pmf1	83	80	43	103
Slc25a44	1416	760	1231	2389
Sema4a	1124	656	658	990
Lmna	3940	2131	1958	3688
Gm37584	0	0	1	0
Mex3a	118	146	189	176
Rab25	1477	1307	1503	1381
Lamtor2	2476	2472	2428	2014
Ubqln4	570	417	471	755
Ssr2	12817	11774	9605	12457
Arhgef2	934	550	750	927
Gm20652	3	0	0	4
Rxfp4	0	0	0	0
Gm43714	5	0	3	5
2810403A07Rik	655	556	689	835
Rit1	685	660	615	822
Gm17146	0	0	0	0
Syt11	1635	1274	1202	1540
Gon4l	134	76	138	176
Gm43713	0	0	0	0
Msto1	293	257	199	341
Dap3	1334	1217	1183	1627
Ash1l	796	721	886	1044
Gm43738	0	0	0	0
Rusc1	716	560	576	571
Fdps	587	566	604	1188
Pklr	80	115	59	158
Hcn3	144	148	208	329
Clk2	509	362	392	565
Scamp3	1996	1783	1757	2278
Gm16069	0	0	0	0
Fam189b	274	308	356	325
Gba	1644	1520	1041	1649
Mtx1	807	898	835	970
Thbs3	144	87	66	56
Muc1	189	84	86	50
Trim46	260	200	177	237
Krtcap2	8866	7828	6660	6258
Dpm3	1565	1385	1735	1359
Slc50a1	2556	2240	2144	2298
Efna1	171	203	255	159
Efna3	0	3	0	0
Gm15998	0	0	0	0
Efna4	0	0	0	0
4731419I09Rik	0	0	0	0
Adam15	801	466	448	728
Dcst1	8	23	21	19
Dcst2	0	2	1	2
Zbtb7b	621	434	521	578
Gm15417	411	491	498	491
Lenep	1	1	0	0
Flad1	1979	1804	1615	2728
Cks1b	1624	1520	1133	1280
Shc1	7401	6423	8217	15304
Pygo2	771	662	848	973
Pbxip1	1559	1119	1268	1547
Pmvk	2435	1869	1448	2024
Kcnn3	123	111	243	177
Adar	825	249	348	977
Chrnb2	278	179	272	469
4632404H12Rik	67	99	151	140
Ube2q1	1161	1077	1153	1659
She	0	0	1	0
Il6ra	820	712	1442	1667
Gm42809	73	86	193	182
Atp8b2	692	340	365	881
Hax1	2580	2347	2170	2082
Gm19710	3	6	12	13
Ubap2l	2143	1333	1772	3350
4933434E20Rik	1466	1506	1519	1989
Tpm3	1890	1502	1264	1804
Nup210l	3	3	14	3
Rps27	1991	1891	1912	1375
Rab13	84	69	35	46
Jtb	3053	3059	2735	3138
Creb3l4	6	23	14	10
Slc39a1	97	77	50	40
Crtc2	656	615	868	1043
Dennd4b	70	88	129	59
4930537H20Rik	0	1	0	0
Gatad2b	211	260	273	207
Slc27a3	43	1	19	23
Ints3	668	637	737	1576
Npr1	11	31	49	27
Gm16048	0	0	0	0
Ilf2	1247	1170	1256	1520
Snapin	769	941	984	1155
Chtop	1566	1209	1342	1806
S100a1	3291	3140	2735	2382
S100a13	620	511	503	378
S100a14	0	1	0	0
S100a16	11	34	0	6
S100a3	23	13	0	9
S100a2	0	0	0	0
Gm42674	0	0	0	1
S100a4	28	25	23	31
S100a5	0	0	0	0
S100a6	76	125	55	47
S100a7a	0	0	0	0
S100a8	18	1	0	0
S100a9	2	3	0	1
Pglyrp4	0	0	0	0
Gm5849	0	0	0	0
9130204L05Rik	0	0	0	0
Pglyrp3	0	0	0	0
Lor	15	25	31	24
Gm43736	0	0	0	0
Gm43735	0	0	0	0
Prr9	0	0	0	0
Lelp1	0	0	0	0
Gm35439	0	0	0	0
Sprr2a1	0	0	0	0
Sprr2a2	0	0	0	0
Sprr2a3	0	0	0	0
Sprr2b	0	0	0	0
Sprr2d	0	0	0	0
Sprr2e	0	0	0	0
Sprr2f	0	0	0	0
Sprr2h	0	0	0	0
Sprr2i	0	0	0	0
Sprr2j-ps	0	0	0	0
Gm9774	32	29	31	34
Sprr2k	0	0	0	0
Sprr1b	0	0	0	0
Sprr3	0	0	0	0
Sprr1a	139	336	28	27
Sprr4	0	0	0	0
2310046K23Rik	0	0	0	0
Ivl	0	0	0	0
Smcp	0	0	0	0
2210017I01Rik	0	0	0	0
Lce6a	0	0	0	0
Lce1a1	0	0	0	0
Lce1b	0	0	0	0
Lce1a2	0	0	0	0
Lce1c	0	0	0	0
Lce1d	0	0	0	0
Lce1e	0	0	0	0
Lce1f	0	0	0	0
Gm38119	0	0	0	0
Lce1g	0	0	0	0
Lce1h	0	0	0	0
Lce1i	0	0	0	0
Lce1j	0	0	0	0
Lce1k	0	0	0	0
Kprp	0	0	0	0
Gm38201	0	0	0	0
Lce1l	0	0	0	0
2310050C09Rik	0	0	0	0
Lce3a	0	0	0	0
Lce3b	0	0	0	0
Lce3c	0	0	0	0
Lce3d	1	0	0	0
Lce3e	0	0	0	0
Lce3f	0	0	0	0
Crct1	0	1	0	0
Lce1m	0	0	0	0
Gm4858	0	0	0	0
Crnn	0	0	0	0
Flg2	0	0	0	0
Flg	0	0	0	0
Gm37245	0	0	0	0
Hrnr	0	0	0	0
Rptn	0	0	0	0
Tchh	0	0	0	0
Tchhl1	0	0	0	0
S100a11	3211	2986	2707	2543
S100a10	1647	1295	741	846
Tdpoz2	0	0	0	0
Tdpoz1	0	0	0	0
Gm37596	0	0	0	0
Gm5773	0	0	0	0
Tdpoz4	0	0	0	0
Tdpoz3	0	0	0	0
Gm9117	0	0	0	0
Tdpoz5	0	0	0	0
Gm9125	0	0	0	0
Gm10697	0	0	0	0
Gm10696	0	0	0	0
Gm5286	0	0	0	0
Gm4778	0	0	0	0
Them4	124	256	264	248
Them5	0	0	0	0
C2cd4d	11	27	25	30
Gm38411	0	0	0	0
Rorc	140	76	168	180
Gm43401	0	0	0	0
Lingo4	10	1	11	5
1700040D17Rik	36	50	57	54
Tdrkh	274	289	332	381
Oaz3	8	0	0	8
Mrpl9	531	516	595	654
Riiad1	105	71	71	45
Celf3	2105	1704	2098	2133
Snx27	675	609	876	731
Tuft1	373	361	461	890
Gm10972	0	0	0	0
Gm15234	28	16	12	31
Selenbp2	0	0	0	0
Cgn	944	416	441	470
Pogz	276	204	312	284
Psmb4	5187	4701	4305	4184
Selenbp1	13	12	14	26
Rfx5	237	145	167	282
B230398E01Rik	0	1	0	0
Pi4kb	206	126	302	393
A730011C13Rik	60	36	13	19
Gm15265	4	8	9	0
Zfp687	398	365	445	591
Psmd4	3081	2228	2288	2701
Pip5k1a	463	616	639	627
Vps72	750	753	935	1223
Tmod4	0	13	2	7
Scnm1	552	563	697	560
Lysmd1	38	41	30	53
Tnfaip8l2	19	55	3	13
Sema6c	25	6	10	4
Gabpb2	154	101	152	121
Gm16740	16	45	43	70
Mllt11	639	727	451	807
Cdc42se1	980	994	1062	1420
Gm128	0	1	1	0
Bnipl	0	0	2	0
Prune1	290	209	234	477
Mindy1	567	465	473	634
Anxa9	13	13	14	2
6330562C20Rik	15	18	12	12
Cers2	2469	2201	2397	2738
Setdb1	320	219	288	514
4930558C23Rik	0	0	0	0
Gm4349	2	4	4	1
Arnt	416	454	401	570
Ctsk	41	49	15	25
Ctss	1053	3525	138	260
Hormad1	0	0	0	0
Golph3l	870	858	903	1363
Ensa	1715	1710	1765	1945
Mcl1	2206	2084	2255	3068
Adamtsl4	56	37	12	34
Ecm1	15	110	9	13
Tars2	449	341	375	576
Rprd2	219	184	274	358
Prpf3	328	245	410	520
Gm26594	8	7	1	2
Mrps21	1524	1557	1860	1497
C920021L13Rik	49	51	31	52
Ciart	146	221	176	238
BC028528	24	30	2	1
Aph1a	366	339	451	308
Car14	0	0	2	0
Anp32e	1790	1517	1902	2013
Plekho1	36	62	21	26
Vps45	690	507	548	760
Otud7b	290	237	313	298
Mtmr11	591	428	589	714
Gm17690	79	85	107	174
Sf3b4	856	962	975	1008
Sv2a	1709	1287	1717	3021
Bola1	950	904	998	971
Gm15444	2	1	0	0
Hist2h2ab	0	0	0	0
Hist2h2ac	4	4	8	14
Hist2h2be	117	135	203	220
Hist2h3c2	45	38	35	49
Gm20632	32	40	71	96
Hist2h2aa2	0	0	0	0
Gm20633	54	18	38	16
Hist2h2aa1	0	0	0	0
Hist2h3c1	74	119	131	173
Hist2h4	30	36	64	96
Gm20628	4	17	5	11
Hist2h3b	0	0	0	0
Gm42743	0	0	1	1
Hist2h2bb	0	0	0	0
Fcgr1	131	163	4	13
Platr30	0	0	0	0
Gm26553	0	0	0	0
Gm17575	0	0	0	0
Gm26689	0	0	0	0
4930477E14Rik	0	0	0	0
Gm26654	0	0	0	0
BC107364	0	0	0	0
Gm10685	0	0	0	0
Hfe2	0	0	0	0
Gm15441	2	23	21	6
Txnip	771	607	1339	747
Gm16253	40	20	38	29
Polr3gl	167	182	158	222
Ankrd34a	1	11	37	6
Lix1l	50	34	79	57
Rbm8a	2171	1853	1916	1768
Pex11b	679	768	851	867
Gm42957	9	0	0	0
Itga10	10	8	11	6
Ankrd35	15	21	39	60
Pias3	329	267	310	534
Nudt17	13	9	25	10
Polr3c	749	453	437	824
Rnf115	2132	2139	2758	3329
Cd160	2	6	6	2
Pdzk1	0	0	0	0
4930442L01Rik	0	0	0	0
Gpr89	724	496	604	708
Gja5	2	4	10	22
Gja8	1	3	0	5
9230114J08Rik	0	0	0	0
4930573H18Rik	0	0	0	0
Acp6	475	376	346	482
Bcl9	227	166	389	236
Olfr1402	0	0	0	0
Chd1l	284	222	236	376
Fmo5	53	133	286	211
Prkab2	229	132	148	215
Gm17651	0	0	0	0
Pde4dip	1464	1006	1494	2354
Gm31305	3	5	3	1
Gm15999	0	0	0	0
Sec22b	6165	6641	7221	8370
Gm5544	0	1	0	0
Notch2	4	9	0	0
Adam30	0	0	0	0
Reg4	0	0	0	0
Hmgcs2	0	2	0	0
Phgdh	1339	1083	907	1075
Zfp697	120	83	117	133
Gm4450	0	0	0	0
Hsd3b4	0	0	0	0
Gm10681	0	0	0	0
Hsd3b5	0	0	0	0
Hsd3b2	0	0	0	0
Hsd3b3	0	0	0	0
Hsd3b6	0	0	0	1
Hsd3b1	0	0	0	0
Hao2	0	0	0	0
5730437C11Rik	0	0	0	1
Gm12440	0	0	0	0
Wars2	102	133	150	88
Tbx15	0	0	0	0
Gm43120	0	0	0	0
Spag17	0	0	0	0
Spag17os	0	0	0	0
Wdr3	266	290	287	634
Gdap2	2326	1919	2014	2956
Gm43121	0	0	0	0
Fam46c	566	530	831	985
Gm12474	2	3	1	35
Man1a2	706	566	685	1128
Gm43464	0	1	0	0
Vtcn1	3	0	0	0
Trim45	40	17	16	40
Ttf2	90	31	18	62
Cd101	0	2	2	0
Ptgfrn	3	5	0	0
Cd2	0	0	0	0
Igsf3	28	12	13	0
Gm42538	0	0	0	0
Atp1a1	6528	4968	5914	9069
Gm43135	0	0	0	0
Gm43134	0	0	0	0
Mab21l3	7	1	0	0
Slc22a15	68	84	55	80
Nhlh2	0	0	0	0
Casq2	0	0	0	0
Vangl1	96	18	10	25
Gm16160	0	0	0	1
Gm43241	1	1	1	3
A230001M10Rik	4	0	0	0
Gm43242	0	0	0	0
Ngf	60	35	25	21
Gm42678	0	0	0	0
Gm42682	0	0	4	7
Tspan2os	12	12	9	23
Tspan2	456	422	697	790
Tshb	13	1	1	7
Gm42681	0	0	0	0
Sycp1	4	6	19	18
Nr1h5	0	0	0	0
Sike1	703	744	688	674
Csde1	4045	3280	3774	6505
Nras	568	450	403	472
Gm43062	10	4	5	11
Ampd1	0	0	0	0
Dennd2c	10	2	0	0
Bcas2	2274	2000	2140	2529
Trim33	199	200	346	238
Syt6	6	0	0	0
Atg4a-ps	13	8	13	10
Olfml3	67	129	4	23
Gm10964	0	0	0	0
Hipk1	308	330	408	370
Gm15886	1	0	0	0
Dclre1b	114	164	147	127
Ap4b1	103	82	106	133
Gm43064	0	0	0	0
Bcl2l15	0	1	0	0
Ptpn22	2	1	0	0
Rsbn1	254	216	284	307
Phtf1os	8	28	32	9
Phtf1	606	465	542	852
Magi3	15	19	19	11
Gm5546	0	0	0	0
Lrig2	111	140	270	434
Gm38412	0	0	0	0
Slc16a1	0	0	0	0
Gm29561	0	0	0	0
Fam19a3	0	0	0	0
Ppm1j	12	0	0	0
Rhoc	251	173	120	78
Mov10	239	186	403	375
Capza1	178	213	191	273
St7l	609	669	595	1004
Wnt2b	1	1	6	5
Gm40117	0	1	0	0
Cttnbp2nl	70	56	30	63
4930564D02Rik	0	0	0	0
Kcnd3os	0	0	0	0
Kcnd3	0	0	0	0
Ddx20	246	235	222	469
Fam212b	23	15	24	59
Gm43848	1	16	1	6
Rap1a	1188	1382	1244	1639
Gm5547	21	29	20	27
Adora3	7	15	12	24
Tmigd3	689	770	729	1119
I830077J02Rik	8	20	0	0
Atp5f1	5351	5960	5293	6103
Wdr77	925	812	904	1173
Ovgp1	7	10	1	12
Pifo	0	0	0	0
Gm42722	2	1	2	0
Chil5	0	1	0	0
Chia1	13	18	6	3
Chil3	0	0	0	0
Chil4	0	0	0	0
Chil6	28	57	22	35
Dennd2d	905	939	879	1146
Cept1	508	671	638	824
Dram2	1030	1052	1099	1084
Lrif1	349	249	309	496
Cd53	289	840	18	43
Olfr266	0	0	0	0
Gm35507	0	0	0	0
Gm27008	0	0	0	0
Kcna3	0	15	0	4
AI504432	0	9	0	0
A930002I21Rik	0	0	0	0
Kcna2	54	65	11	55
Kcna10	0	0	0	0
Cym	0	0	0	0
A630076J17Rik	0	0	0	0
Prok1	2	0	0	0
Lamtor5	1538	1796	1763	1636
Slc16a4	1	6	6	5
Rbm15	154	47	89	214
Kcnc4	0	0	11	5
Slc6a17	435	251	163	297
Ubl4b	0	0	0	0
Alx3	0	0	0	0
Strip1	566	400	567	934
Gm10961	0	0	0	2
Ahcyl1	2167	1625	2770	5032
Csf1	527	407	813	824
Gm36211	0	0	0	0
Eps8l3	0	0	0	0
4933431E20Rik	85	54	34	69
Gstm5	658	779	659	730
Gstm7	4	12	76	16
Gstm6	7	6	7	0
Gstm3	8	11	0	1
Gstm2	647	789	1005	809
Gstm1	1953	2928	4932	3609
Gm12498	1	0	0	2
Gstm4	680	809	814	979
Ampd2	2853	1993	3200	5193
Gm12500	48	79	162	188
Gnat2	655	653	847	1101
Gnai3	2890	2538	2863	4998
Gpr61	0	0	0	0
Gm12524	99	84	92	106
Amigo1	912	803	1040	1593
Cyb561d1	340	275	285	499
Atxn7l2	184	138	235	224
Sypl2	0	0	0	0
Gm40123	1	3	0	3
1700010K24Rik	1	4	4	1
Psma5	2422	2118	1896	2001
Gm12523	0	2	0	2
Sort1	1142	731	1169	1761
Gm12525	0	2	0	0
Mybphl	0	0	1	0
Psrc1	7	1	0	0
Celsr2	111	96	116	117
Sars	7667	5342	5941	8752
5330417C22Rik	2444	1879	2783	3794
1700013F07Rik	14	21	35	11
Tmem167b	1800	1375	1817	2727
Taf13	284	402	390	360
Wdr47	265	272	329	539
Clcc1	770	671	790	1229
Gpsm2	76	59	63	75
Gm27244	0	0	0	0
Aknad1	3	3	0	0
